GEOID,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras
36047075600,2.0587736503518146,0.12263839248154162,3,0
36047075800,1.7800612571833652,0.02986689173078127,3,0
36047076000,0.5472209388048711,0,0,0
36047076200,2.924182395068074,0.6119801424655178,5,0
36047076400,2.8523271950208042,0.508792349970989,6,2
36047076600,1.1397294219764798,0.18440332365606882,2,0
36047076800,3.402028593996147,0.7144241024710557,7,0
36047077000,2.9304023171823927,0.26281648756366577,5,1
36047077200,5.138258221529773,1.0483781942832695,10,1
36047077400,6.574181805935282,1.6781482155621137,10,5
36047077600,3.694826536151993,0.8335142231724649,8,2
36047078000,1.944280430252385,0.26896548355961336,3,2
36047078200,3.331109789482564,0.6941088348689726,4,1
36047078400,4.0464361760898715,0.5729251779467139,4,0
36047078600,6.966595748829998,2.6861381286085817,10,1
36047078800,5.396032431492745,1.1359400529024772,10,3
36047079000,4.627280041367622,1.3309840249947937,6,3
36047079200,5.845183352336167,2.283329235804353,9,1
36047079400,6.587408162612048,2.227628426260679,11,6
36047079601,1.535477916873959,0.5747823887597212,5,4
36047079602,1.665210654140242,0.2501112918444489,1,0
36047079801,3.5435851830544145,0.6335704615086099,9,1
36047079802,3.0384623432921023,0.9673944270047719,7,0
36047080000,2.8645118070002433,0.5489375594858877,6,1
36047080200,2.66422195121078,0.6850038364397067,5,2
36047080400,5.7616975083094415,1.4744925755341785,13,3
36047080600,1.8332404177823853,0.5006138356854904,3,2
36047080800,5.815065635310529,1.1865060547682622,10,2
36047081000,3.3803990274448754,1.199386974381673,5,0
36047081400,3.531481126574449,1.100454021470306,6,2
36047081600,5.085628348773936,1.8722057604207445,9,3
36047081800,5.52046117162245,1.0231639039968556,8,2
36047082000,4.864790615211212,1.4837089127498997,9,3
36047082200,3.2702963830381977,0.7274356597909951,3,2
36047082400,5.487283713983987,0.8820057182866144,9,0
36047082600,2.6498947454322037,0.5239530226524667,4,1
36047082800,4.401122816672757,1.6728202784054504,9,5
36047083000,3.044530627961239,0.5497684886600556,7,0
36047083200,1.0291423515812304,0.11642619469585684,1,0
36047083400,1.1626561587060882,0.8831169418051847,1,1
36047083600,3.2090783307265447,1.2417861962674532,5,2
36047083800,0.7699335803837555,0,1,0
36047084800,0.27814800740028833,0,0,0
36047085000,0.022097752326728712,0,0,0
36047085200,1.106145236209395,0,4,0
36047085400,0.4092604074048837,0,0,0
36047085600,2.831120137546187,1.271227659223583,6,2
36047085800,2.593540877876776,0.49088096134531817,3,0
36047086000,3.2433645788256875,0.9603735388658015,4,1
36047086200,3.1439266135192967,0.7517463495640967,5,2
36047086400,1.6643103262420755,0.04690832216639082,3,0
36047086600,3.3927054988036653,1.2696519876429182,5,1
36047086800,5.761955301195389,2.0160797251500076,10,4
36047087000,4.9303111265340185,0.6649305816632397,7,0
36047087200,2.524949386648393,0.73196133534894,2,1
36047087401,0.32736100748811803,0,0,0
36047087600,0.22712341809787448,0,0,0
36047087800,2.6426557330783496,0.9682527646918769,5,4
36047088000,1.9295725932876686,0.01349754202973491,3,0
36047088200,1.8689351379008825,0.07932815180600847,3,0
36047088400,1.5153916976695743,0,2,0
36047088600,0.9363264929371395,0,2,0
36047088800,0.9995431365002957,0.9995431365002957,1,1
36047089000,2.1283124883533886,0.4679791680910982,3,0
36047089200,2.5456561850333075,0.2085178835663599,3,0
36047089400,1.9990862730020733,1.0327979135282912,3,3
36047089600,0.7408581684746832,0,0,0
36047089800,1.3389993950020245,0.4983091913827242,1,0
36047090000,3.332920420532903,0.9265817861022027,5,1
36047090200,3.2080481743441087,0.6646765764296795,4,1
36047090600,1.5296459454896352,0.05338374231859447,2,0
36047090800,4.424496164382396,1.773430059127519,12,5
36047091000,3.6417481931013853,2.049639274951156,8,4
36047091200,0.994730242888203,0.04254228383173704,2,0
36047091600,0.9995431365004543,0.443605535265896,1,0
36047091800,1.9755142525455431,0.23710868610881009,5,0
36047092000,3.9251100093013864,1.1011900367198928,5,3
36047092200,3.3678964791256467,0.8251820338611285,3,1
36047092400,1.9058423427308933,0.7540879707676427,2,1
36047092800,1.2041977202136789,0,1,0
36047093000,0.2969294760979126,0,0,0
36047093200,2.0448981521477765,0.468959229852995,2,0
36047093400,1.6315001329408807,0.09327452359800892,4,0
36047093600,2.0697667460295657,0.3433425513058275,5,0
36047093800,1.7756291711917331,0.2706836140644534,3,0
36047094401,3.9162141470740233,1.0263506033349046,9,2
36047094402,2.469007572565686,0.5532901966712239,3,1
36047094600,3.12270552661249,0.937301465115036,7,1
36047095000,2.5388598246124343,0.7607051883019268,3,2
36047095400,4.219567120530339,0.8250149709989109,6,0
36047095600,0.7360617085945366,0,0,0
36047095800,2.494051473398696,0.5540765099478808,4,1
36047096000,5.425291437139405,2.320277200138619,12,6
36047096200,1.2900733340834785,0.5060409107160888,1,1
36047096400,0.9995431365003645,0.4935022257843407,1,0
36047096800,0.46482178648390554,0,0,0
36047097000,1.8086511934927016,0.2039040223447396,4,0
36047097400,0.30161780474823685,0,0,0
36047098200,1.996920175496466,0.6076580933638084,2,1
36047099600,0.9995431364997448,0.4952885046756506,2,0
36047099800,1.0798680030814485,0.5042546318236083,2,2
36047100400,0.21939914289794135,0,0,0
36047101800,0.9983362096711254,0.054623641747764504,1,0
36047102000,0.9995431365007738,0.4726871197882836,1,1
36047102200,0.2524896235125037,0,0,0
36047103400,0.9995431365007738,0.4722323749641289,1,0
36047105801,0.999543136500376,0.5802446020248418,1,1
36047105804,0.999543136500376,0.41929853447518733,1,0
36047107000,1.2384599501939393,0.4698127506105851,4,0
36047107800,1.7914307138414625,0,5,0
36047109800,7.294865779289594,4.34134442219849,10,7
36047110400,7.232603213485507,4.426108419880721,10,7
36047110600,3.180303036167646,0.8621565984708754,6,2
36047111000,1.7334537273679624,0.4992039715735255,4,0
36047111600,3.957795030497804,2.022425855779577,7,4
36047111800,4.0139189900522725,0.5245668108353215,11,0
36047112000,2.5563493972869504,1.3557230977002879,5,4
36047112200,2.7964716929005196,0.3304680486398419,4,0
36047112400,3.6996595457712615,1.4866352861741918,6,3
36047112600,4.675302043516602,0.43552745606090193,12,0
36047112800,2.6067607586402124,0.792928700809345,5,1
36047113000,5.070221386220813,1.1337761170055667,10,2
36047113200,6.146470516700284,1.1383416382293303,12,0
36047113400,4.95967633018539,1.4925514036982872,11,4
36047114201,3.0394866996370906,0.9895734896761679,4,3
36047114202,1.9990862730016776,0.7007732232438235,2,0
36047114400,6.0030349787996276,2.066067363110907,15,3
