GEOID,NAME,variable,estimate,moe
36005007600,"Census Tract 76, Bronx County, New York",white,208,161
36005007600,"Census Tract 76, Bronx County, New York",black,1104,328
36005007600,"Census Tract 76, Bronx County, New York",asian,500,341
36005007600,"Census Tract 76, Bronx County, New York",latino,3435,741
36005007600,"Census Tract 76, Bronx County, New York",med_inc,46176,9176
36005007700,"Census Tract 77, Bronx County, New York",male,944,155
36005007700,"Census Tract 77, Bronx County, New York",female,1078,136
36005007700,"Census Tract 77, Bronx County, New York",total_pop,2022,230
36005007700,"Census Tract 77, Bronx County, New York",white,62,49
36005007700,"Census Tract 77, Bronx County, New York",black,377,153
36005007700,"Census Tract 77, Bronx County, New York",asian,19,24
36005007700,"Census Tract 77, Bronx County, New York",latino,1564,231
36005007700,"Census Tract 77, Bronx County, New York",med_inc,38417,7949
36005007800,"Census Tract 78, Bronx County, New York",male,3581,516
36005007800,"Census Tract 78, Bronx County, New York",female,3834,437
36005007800,"Census Tract 78, Bronx County, New York",total_pop,7415,664
36005007800,"Census Tract 78, Bronx County, New York",white,220,179
36005007800,"Census Tract 78, Bronx County, New York",black,1709,553
36005007800,"Census Tract 78, Bronx County, New York",asian,725,390
36005007800,"Census Tract 78, Bronx County, New York",latino,4585,745
36005007800,"Census Tract 78, Bronx County, New York",med_inc,52360,13613
36005007900,"Census Tract 79, Bronx County, New York",male,3251,558
36005007900,"Census Tract 79, Bronx County, New York",female,3937,510
36005007900,"Census Tract 79, Bronx County, New York",total_pop,7188,807
36005007900,"Census Tract 79, Bronx County, New York",white,10,14
36005007900,"Census Tract 79, Bronx County, New York",black,1960,453
36005007900,"Census Tract 79, Bronx County, New York",asian,0,17
36005007900,"Census Tract 79, Bronx County, New York",latino,5023,775
36005007900,"Census Tract 79, Bronx County, New York",med_inc,26307,10488
36005008300,"Census Tract 83, Bronx County, New York",male,3598,454
36005008300,"Census Tract 83, Bronx County, New York",female,3115,406
36005008300,"Census Tract 83, Bronx County, New York",total_pop,6713,666
36005008300,"Census Tract 83, Bronx County, New York",white,135,113
36005008300,"Census Tract 83, Bronx County, New York",black,960,418
36005008300,"Census Tract 83, Bronx County, New York",asian,145,222
36005008300,"Census Tract 83, Bronx County, New York",latino,5419,728
36005008300,"Census Tract 83, Bronx County, New York",med_inc,32167,7739
36005008400,"Census Tract 84, Bronx County, New York",male,1476,195
36005008400,"Census Tract 84, Bronx County, New York",female,1423,145
36005008400,"Census Tract 84, Bronx County, New York",total_pop,2899,271
36005008400,"Census Tract 84, Bronx County, New York",white,65,58
36005008400,"Census Tract 84, Bronx County, New York",black,743,235
36005008400,"Census Tract 84, Bronx County, New York",asian,222,156
36005008400,"Census Tract 84, Bronx County, New York",latino,1784,295
36005008400,"Census Tract 84, Bronx County, New York",med_inc,85750,3282
36005008500,"Census Tract 85, Bronx County, New York",male,2457,360
36005008500,"Census Tract 85, Bronx County, New York",female,3174,382
36005008500,"Census Tract 85, Bronx County, New York",total_pop,5631,574
36005008500,"Census Tract 85, Bronx County, New York",white,66,54
36005008500,"Census Tract 85, Bronx County, New York",black,1504,361
36005008500,"Census Tract 85, Bronx County, New York",asian,17,21
36005008500,"Census Tract 85, Bronx County, New York",latino,3905,579
36005008500,"Census Tract 85, Bronx County, New York",med_inc,31370,2847
36005008600,"Census Tract 86, Bronx County, New York",male,1771,296
36005008600,"Census Tract 86, Bronx County, New York",female,2165,272
36005008600,"Census Tract 86, Bronx County, New York",total_pop,3936,434
36005008600,"Census Tract 86, Bronx County, New York",white,65,63
36005008600,"Census Tract 86, Bronx County, New York",black,1966,477
36005008600,"Census Tract 86, Bronx County, New York",asian,22,35
36005008600,"Census Tract 86, Bronx County, New York",latino,1831,402
